element_id,element_label,record_type,record_id,indicator_id,country_iso3,year,period_start,period_end,period,statistic_type,source_year_label,value,unit,name,latitude,longitude,attributes_json,missing_reason_code,note,source_org,source_url,license_code,source_file,source_sheet,source_row,publication_decision_id
C-003,"NAP[제출년도, 문서 링크, 부문별 취약성 평가, 적응 우선 분야, 적응 우선 조치 목록(단기/중기/장기), 부문별 적응 투자 소요, 적응 거버넌스 체계, M&E 지표 체계, 이해관계자·젠더 분석, 원본 링크]",entity,v124-c-003-entity-00001,C-003_adaptation_finance_need,VNM,,,,,,,,,└ 인프라 부문,,,"{""기술코드_근거문구"":""[기후기술코드] 38대 기후기술 분류체계 기준. 관계유형=간접 · 근거=원천 자체 분류. 022 이슈로그 H열 「[적응분야에 대한 태깅]」 지시에 따라 NAP 갱신본(Decision 1422/QĐ-TTg, 2024-11-19) 적응 투자소요 중 인프라 부문(219억 USD) — 산업 에너지 부문(인프라) 기술에 대응. 매핑 결과: 36 산업 에너지 부문 기술."",""기술코드_판단근거_유형"":""간접·원천 자체 분류"",""속성10_건수"":null,""속성11_발행량_tCO2e"":null,""속성12_소각량_tCO2e"":null,""속성13_배분량_tCO2e"":null,""속성14_연간예상감축_tCO2e"":null,""속성15_빈티지_연도"":null,""속성16_발행일"":null,""속성17_크레딧기간"":null,""속성18_업종"":null,""속성19_원문URL"":""https://unfccc.int/sites/default/files/resource/Viet%20Nam_NAP_2025.pdf"",""속성1_레코드명"":""└ 인프라 부문"",""속성20_지역_원문"":null,""속성21_지역_현행"":null,""속성22_행정코드P_code"":null,""속성23_설명"":null,""속성2_레코드ID"":null,""속성3_값"":219,""속성4_시점"":""2022-2040"",""속성5_등록표준_출처"":null,""속성6_분류"":null,""속성7_상태"":null,""속성8_사업자_기관"":null,""속성9_방법론"":null}",,└ 인프라 부문. NAP 원문이 World Bank CCDR(2022)를 인용한 값,,,,C-003.xlsx,1.2_entity(레코드형),70,
C-003,"NAP[제출년도, 문서 링크, 부문별 취약성 평가, 적응 우선 분야, 적응 우선 조치 목록(단기/중기/장기), 부문별 적응 투자 소요, 적응 거버넌스 체계, M&E 지표 체계, 이해관계자·젠더 분석, 원본 링크]",entity,v124-c-003-entity-00002,C-003_adaptation_finance_need,VNM,,,,,,,,,└ 적응역량 구축 사회프로그램,,,"{""기술코드_근거문구"":""[기후기술코드] 38대 기후기술 분류체계 기준. 관계유형=간접 · 근거=원천 자체 분류. 022 이슈로그 H열 「[적응분야에 대한 태깅]」 지시에 따라 NAP 갱신본(Decision 1422/QĐ-TTg, 2024-11-19) 적응역량 구축 사회프로그램 투자소요(35억 USD) — 기후변화 적응기반 기술에 대응. 매핑 결과: 38 기후변화 적응기반 기술."",""기술코드_판단근거_유형"":""간접·원천 자체 분류"",""속성10_건수"":null,""속성11_발행량_tCO2e"":null,""속성12_소각량_tCO2e"":null,""속성13_배분량_tCO2e"":null,""속성14_연간예상감축_tCO2e"":null,""속성15_빈티지_연도"":null,""속성16_발행일"":null,""속성17_크레딧기간"":null,""속성18_업종"":null,""속성19_원문URL"":""https://unfccc.int/sites/default/files/resource/Viet%20Nam_NAP_2025.pdf"",""속성1_레코드명"":""└ 적응역량 구축 사회프로그램"",""속성20_지역_원문"":null,""속성21_지역_현행"":null,""속성22_행정코드P_code"":null,""속성23_설명"":null,""속성2_레코드ID"":null,""속성3_값"":35,""속성4_시점"":""2022-2040"",""속성5_등록표준_출처"":null,""속성6_분류"":null,""속성7_상태"":null,""속성8_사업자_기관"":null,""속성9_방법론"":null}",,└ 적응역량 구축 사회프로그램. NAP 원문이 World Bank CCDR(2022)를 인용한 값,,,,C-003.xlsx,1.2_entity(레코드형),71,
C-003,"NAP[제출년도, 문서 링크, 부문별 취약성 평가, 적응 우선 분야, 적응 우선 조치 목록(단기/중기/장기), 부문별 적응 투자 소요, 적응 거버넌스 체계, M&E 지표 체계, 이해관계자·젠더 분석, 원본 링크]",entity,v124-c-003-entity-00003,C-003_adaptation_finance_need,VNM,,,,,,,,,비국가재원 연간 소요,,,"{""기술코드_근거문구"":""[기후기술코드] 38대 기후기술 분류체계 기준. 관계유형=미부여 · 근거=원천 자체 분류. 재원·투자 소요 행 — 금액 정보로 특정 기후기술을 지목하지 않음. 매핑 결과: 미부여(특정 기후기술을 지목하지 않아 tech_id 공란)."",""기술코드_판단근거_유형"":""미매핑"",""속성10_건수"":null,""속성11_발행량_tCO2e"":null,""속성12_소각량_tCO2e"":null,""속성13_배분량_tCO2e"":null,""속성14_연간예상감축_tCO2e"":null,""속성15_빈티지_연도"":null,""속성16_발행일"":null,""속성17_크레딧기간"":null,""속성18_업종"":null,""속성19_원문URL"":""https://unfccc.int/sites/default/files/resource/NAP_Vietnam_2025_EN.pdf"",""속성1_레코드명"":""비국가재원 연간 소요"",""속성20_지역_원문"":null,""속성21_지역_현행"":null,""속성22_행정코드P_code"":null,""속성23_설명"":null,""속성2_레코드ID"":null,""속성3_값"":27.5,""속성4_시점"":""2021-2030"",""속성5_등록표준_출처"":null,""속성6_분류"":null,""속성7_상태"":null,""속성8_사업자_기관"":null,""속성9_방법론"":null}",,[하한(min)] 원문: 'about USD 2.75-6.42 billion from non-State budget per year',,,,C-003.xlsx,1.2_entity(레코드형),56,
C-003,"NAP[제출년도, 문서 링크, 부문별 취약성 평가, 적응 우선 분야, 적응 우선 조치 목록(단기/중기/장기), 부문별 적응 투자 소요, 적응 거버넌스 체계, M&E 지표 체계, 이해관계자·젠더 분석, 원본 링크]",entity,v124-c-003-entity-00004,C-003_adaptation_finance_need,VNM,,,,,,,,,비국가재원 연간 소요,,,"{""기술코드_근거문구"":""[기후기술코드] 38대 기후기술 분류체계 기준. 관계유형=미부여 · 근거=원천 자체 분류. 재원·투자 소요 행 — 금액 정보로 특정 기후기술을 지목하지 않음. 매핑 결과: 미부여(특정 기후기술을 지목하지 않아 tech_id 공란)."",""기술코드_판단근거_유형"":""미매핑"",""속성10_건수"":null,""속성11_발행량_tCO2e"":null,""속성12_소각량_tCO2e"":null,""속성13_배분량_tCO2e"":null,""속성14_연간예상감축_tCO2e"":null,""속성15_빈티지_연도"":null,""속성16_발행일"":null,""속성17_크레딧기간"":null,""속성18_업종"":null,""속성19_원문URL"":""https://unfccc.int/sites/default/files/resource/NAP_Vietnam_2025_EN.pdf"",""속성1_레코드명"":""비국가재원 연간 소요"",""속성20_지역_원문"":null,""속성21_지역_현행"":null,""속성22_행정코드P_code"":null,""속성23_설명"":null,""속성2_레코드ID"":null,""속성3_값"":64.2,""속성4_시점"":""2021-2030"",""속성5_등록표준_출처"":null,""속성6_분류"":null,""속성7_상태"":null,""속성8_사업자_기관"":null,""속성9_방법론"":null}",,[상한(max)] 원문: 'about USD 2.75-6.42 billion from non-State budget per year',,,,C-003.xlsx,1.2_entity(레코드형),57,
C-003,"NAP[제출년도, 문서 링크, 부문별 취약성 평가, 적응 우선 분야, 적응 우선 조치 목록(단기/중기/장기), 부문별 적응 투자 소요, 적응 거버넌스 체계, M&E 지표 체계, 이해관계자·젠더 분석, 원본 링크]",entity,v124-c-003-entity-00005,C-003_adaptation_finance_need,VNM,,,,,,,,,재원 원천,,,"{""기술코드_근거문구"":""[기후기술코드] 38대 기후기술 분류체계 기준. 관계유형=미부여 · 근거=원천 자체 분류. 재원·투자 소요 행 — 금액 정보로 특정 기후기술을 지목하지 않음. 매핑 결과: 미부여(특정 기후기술을 지목하지 않아 tech_id 공란)."",""기술코드_판단근거_유형"":""미매핑"",""속성10_건수"":null,""속성11_발행량_tCO2e"":null,""속성12_소각량_tCO2e"":null,""속성13_배분량_tCO2e"":null,""속성14_연간예상감축_tCO2e"":null,""속성15_빈티지_연도"":null,""속성16_발행일"":null,""속성17_크레딧기간"":null,""속성18_업종"":null,""속성19_원문URL"":""https://unfccc.int/sites/default/files/resource/NAP_Vietnam_2025_EN.pdf"",""속성1_레코드명"":""재원 원천"",""속성20_지역_원문"":null,""속성21_지역_현행"":null,""속성22_행정코드P_code"":null,""속성23_설명"":null,""속성2_레코드ID"":null,""속성3_값"":""3개 원천 병행"",""속성4_시점"":""2024"",""속성5_등록표준_출처"":null,""속성6_분류"":null,""속성7_상태"":null,""속성8_사업자_기관"":null,""속성9_방법론"":null}",,예산법·공공투자법 등 현행 분권체계에 따른 배정,,,,C-003.xlsx,1.2_entity(레코드형),58,
C-003,"NAP[제출년도, 문서 링크, 부문별 취약성 평가, 적응 우선 분야, 적응 우선 조치 목록(단기/중기/장기), 부문별 적응 투자 소요, 적응 거버넌스 체계, M&E 지표 체계, 이해관계자·젠더 분석, 원본 링크]",entity,v124-c-003-entity-00006,C-003_adaptation_finance_need,VNM,,,,,,,,,조달 가능 재원,,,"{""기술코드_근거문구"":""[기후기술코드] 38대 기후기술 분류체계 기준. 관계유형=미부여 · 근거=원천 자체 분류. 재원·투자 소요 행 — 금액 정보로 특정 기후기술을 지목하지 않음. 매핑 결과: 미부여(특정 기후기술을 지목하지 않아 tech_id 공란)."",""기술코드_판단근거_유형"":""미매핑"",""속성10_건수"":null,""속성11_발행량_tCO2e"":null,""속성12_소각량_tCO2e"":null,""속성13_배분량_tCO2e"":null,""속성14_연간예상감축_tCO2e"":null,""속성15_빈티지_연도"":null,""속성16_발행일"":null,""속성17_크레딧기간"":null,""속성18_업종"":null,""속성19_원문URL"":""https://unfccc.int/sites/default/files/resource/NAP_Vietnam_2025_EN.pdf"",""속성1_레코드명"":""조달 가능 재원"",""속성20_지역_원문"":null,""속성21_지역_현행"":null,""속성22_행정코드P_code"":null,""속성23_설명"":null,""속성2_레코드ID"":null,""속성3_값"":275,""속성4_시점"":""2021-2030"",""속성5_등록표준_출처"":null,""속성6_분류"":null,""속성7_상태"":null,""속성8_사업자_기관"":null,""속성9_방법론"":null}",,"연평균 GDP 대비 1.5%, 누적 USD 27.5 billion",,,,C-003.xlsx,1.2_entity(레코드형),53,
C-003,"NAP[제출년도, 문서 링크, 부문별 취약성 평가, 적응 우선 분야, 적응 우선 조치 목록(단기/중기/장기), 부문별 적응 투자 소요, 적응 거버넌스 체계, M&E 지표 체계, 이해관계자·젠더 분석, 원본 링크]",entity,v124-c-003-entity-00007,C-003_adaptation_finance_need,VNM,,,,,,,,,총 재원소요,,,"{""기술코드_근거문구"":""[기후기술코드] 38대 기후기술 분류체계 기준. 관계유형=미부여 · 근거=원천 자체 분류. 재원·투자 소요 행 — 금액 정보로 특정 기후기술을 지목하지 않음. 매핑 결과: 미부여(특정 기후기술을 지목하지 않아 tech_id 공란)."",""기술코드_판단근거_유형"":""미매핑"",""속성10_건수"":null,""속성11_발행량_tCO2e"":null,""속성12_소각량_tCO2e"":null,""속성13_배분량_tCO2e"":null,""속성14_연간예상감축_tCO2e"":null,""속성15_빈티지_연도"":null,""속성16_발행일"":null,""속성17_크레딧기간"":null,""속성18_업종"":null,""속성19_원문URL"":""https://unfccc.int/sites/default/files/resource/NAP_Vietnam_2025_EN.pdf"",""속성1_레코드명"":""총 재원소요"",""속성20_지역_원문"":null,""속성21_지역_현행"":null,""속성22_행정코드P_code"":null,""속성23_설명"":null,""속성2_레코드ID"":null,""속성3_값"":549.9,""속성4_시점"":""2021-2030"",""속성5_등록표준_출처"":null,""속성6_분류"":null,""속성7_상태"":null,""속성8_사업자_기관"":null,""속성9_방법론"":null}",,[하한(min)] 연평균 GDP 대비 3.0-5.0%. 원 파일 I4/J4(549.9/916.5억USD)와 정확히 일치 확인(=USD 54.99-91.65 billion),,,,C-003.xlsx,1.2_entity(레코드형),51,
C-003,"NAP[제출년도, 문서 링크, 부문별 취약성 평가, 적응 우선 분야, 적응 우선 조치 목록(단기/중기/장기), 부문별 적응 투자 소요, 적응 거버넌스 체계, M&E 지표 체계, 이해관계자·젠더 분석, 원본 링크]",entity,v124-c-003-entity-00008,C-003_adaptation_finance_need,VNM,,,,,,,,,총 재원소요,,,"{""기술코드_근거문구"":""[기후기술코드] 38대 기후기술 분류체계 기준. 관계유형=미부여 · 근거=원천 자체 분류. 재원·투자 소요 행 — 금액 정보로 특정 기후기술을 지목하지 않음. 매핑 결과: 미부여(특정 기후기술을 지목하지 않아 tech_id 공란)."",""기술코드_판단근거_유형"":""미매핑"",""속성10_건수"":null,""속성11_발행량_tCO2e"":null,""속성12_소각량_tCO2e"":null,""속성13_배분량_tCO2e"":null,""속성14_연간예상감축_tCO2e"":null,""속성15_빈티지_연도"":null,""속성16_발행일"":null,""속성17_크레딧기간"":null,""속성18_업종"":null,""속성19_원문URL"":""https://unfccc.int/sites/default/files/resource/NAP_Vietnam_2025_EN.pdf"",""속성1_레코드명"":""총 재원소요"",""속성20_지역_원문"":null,""속성21_지역_현행"":null,""속성22_행정코드P_code"":null,""속성23_설명"":null,""속성2_레코드ID"":null,""속성3_값"":916.5,""속성4_시점"":""2021-2030"",""속성5_등록표준_출처"":null,""속성6_분류"":null,""속성7_상태"":null,""속성8_사업자_기관"":null,""속성9_방법론"":null}",,[상한(max)] 연평균 GDP 대비 3.0-5.0%. 원 파일 I4/J4(549.9/916.5억USD)와 정확히 일치 확인(=USD 54.99-91.65 billion),,,,C-003.xlsx,1.2_entity(레코드형),52,
C-003,"NAP[제출년도, 문서 링크, 부문별 취약성 평가, 적응 우선 분야, 적응 우선 조치 목록(단기/중기/장기), 부문별 적응 투자 소요, 적응 거버넌스 체계, M&E 지표 체계, 이해관계자·젠더 분석, 원본 링크]",entity,v124-c-003-entity-00009,C-003_adaptation_finance_need,VNM,,,,,,,,,추가 소요 재원,,,"{""기술코드_근거문구"":""[기후기술코드] 38대 기후기술 분류체계 기준. 관계유형=미부여 · 근거=원천 자체 분류. 재원·투자 소요 행 — 금액 정보로 특정 기후기술을 지목하지 않음. 매핑 결과: 미부여(특정 기후기술을 지목하지 않아 tech_id 공란)."",""기술코드_판단근거_유형"":""미매핑"",""속성10_건수"":null,""속성11_발행량_tCO2e"":null,""속성12_소각량_tCO2e"":null,""속성13_배분량_tCO2e"":null,""속성14_연간예상감축_tCO2e"":null,""속성15_빈티지_연도"":null,""속성16_발행일"":null,""속성17_크레딧기간"":null,""속성18_업종"":null,""속성19_원문URL"":""https://unfccc.int/sites/default/files/resource/NAP_Vietnam_2025_EN.pdf"",""속성1_레코드명"":""추가 소요 재원"",""속성20_지역_원문"":null,""속성21_지역_현행"":null,""속성22_행정코드P_code"":null,""속성23_설명"":null,""속성2_레코드ID"":null,""속성3_값"":275,""속성4_시점"":""2021-2030"",""속성5_등록표준_출처"":null,""속성6_분류"":null,""속성7_상태"":null,""속성8_사업자_기관"":null,""속성9_방법론"":null}",,"[하한(min)] 국가예산 외 비국가재원(민간·국제협력 등) 조달 필요분, 누적 USD 27.5-64.16 billion",,,,C-003.xlsx,1.2_entity(레코드형),54,
C-003,"NAP[제출년도, 문서 링크, 부문별 취약성 평가, 적응 우선 분야, 적응 우선 조치 목록(단기/중기/장기), 부문별 적응 투자 소요, 적응 거버넌스 체계, M&E 지표 체계, 이해관계자·젠더 분석, 원본 링크]",entity,v124-c-003-entity-00010,C-003_adaptation_finance_need,VNM,,,,,,,,,추가 소요 재원,,,"{""기술코드_근거문구"":""[기후기술코드] 38대 기후기술 분류체계 기준. 관계유형=미부여 · 근거=원천 자체 분류. 재원·투자 소요 행 — 금액 정보로 특정 기후기술을 지목하지 않음. 매핑 결과: 미부여(특정 기후기술을 지목하지 않아 tech_id 공란)."",""기술코드_판단근거_유형"":""미매핑"",""속성10_건수"":null,""속성11_발행량_tCO2e"":null,""속성12_소각량_tCO2e"":null,""속성13_배분량_tCO2e"":null,""속성14_연간예상감축_tCO2e"":null,""속성15_빈티지_연도"":null,""속성16_발행일"":null,""속성17_크레딧기간"":null,""속성18_업종"":null,""속성19_원문URL"":""https://unfccc.int/sites/default/files/resource/NAP_Vietnam_2025_EN.pdf"",""속성1_레코드명"":""추가 소요 재원"",""속성20_지역_원문"":null,""속성21_지역_현행"":null,""속성22_행정코드P_code"":null,""속성23_설명"":null,""속성2_레코드ID"":null,""속성3_값"":641.6,""속성4_시점"":""2021-2030"",""속성5_등록표준_출처"":null,""속성6_분류"":null,""속성7_상태"":null,""속성8_사업자_기관"":null,""속성9_방법론"":null}",,"[상한(max)] 국가예산 외 비국가재원(민간·국제협력 등) 조달 필요분, 누적 USD 27.5-64.16 billion",,,,C-003.xlsx,1.2_entity(레코드형),55,
